code,airport_name
LIH,Lihue Airport
LII,Mulia Airport
LIK,Likiep Airport
LIL,Lille Airport
LIM,Jorge Chávez International Airport
LIN,Linate Airport
LIO,Limón International Airport
LIP,Lins Airport
LIQ,Lisala Airport
LIR,Daniel Oduber Quirós International Airport
LIS,Lisbon Portela Airport
LIT,Clinton National Airport
LIV,Livengood Camp Airport
LIW,Loikaw Airport
LIX,Likoma Airport
LIY,MidCoast Regional Airport at Wright Army Airfield
LIZ,Loring International Airport
LJA,Lodja Airport
LJG,Lijiang Sanyi Airport
LJN,Texas Gulf Coast Regional Airport
LJU,Ljubljana Jože Pučnik Airport
LKA,Gewayantana Airport
LKB,Lakeba Airport
LKC,Lekana Airport
LKD,Lakeland Downs Airport
LKE,Kenmore Air Harbor Seaplane Base
LKG,Lokichogio Airport
LKH,Long Akah Airport
LKK,Kulik Lake Airport
LKL,"Lakselv Airport, Banak"
LKN,Leknes Airport
LKO,Chaudhary Charan Singh International Airport
LKP,Lake Placid Airport
LKR,Las Khorey Airport
LKU,Lake Turkana Airport
LKV,Lake County Airport
LKW,Lekhwair Airport
LKY,Lake Manyara Airport
LKZ,RAF Lakenheath
LLA,Luleå Airport
LLB,Libo Airport
LLC,Cagayan North International Airport
LLE,Malelane Airport
LLF,Yongzhou Lingling Airport
LLG,Chillagoe Airport
LLH,Las Limas Airport
LLI,Lalibela Airport
LLK,Lankaran International Airport
LLL,Lissadell Airport
LLN,Kelila Airport
LLO,Palopo Lagaligo Airport
LLP,Linda Downs Airport
LLS,Alférez Armando Rodríguez Airport
LLT,Lobito Airport
LLV,Lüliang Airport
LLW,Lilongwe International Airport
LLX,Caledonia County Airport
LLY,South Jersey Regional Airport
LMA,Lake Minchumina Airport
LMB,Salima Airport
LMC,La Macarena Airport
LMD,Los Menucos Airport
LME,Le Mans Arnage Airport
LMG,Lamassa Airport
LMH,Limón Airport
LMI,Lumi Airport
LML,Lae Airport
LMM,Fort Valley Federal International Airport
LMN,Limbang Airport
LMO,RAF Lossiemouth
LMP,Lampedusa Airport
LMQ,Marsa Brega Airport
LMR,Finsch Mine Airport
LMS,Louisville Winston County Airport
LMT,Klamath Falls Airport
LMX,Lopéz de Micay Airport
LMY,Lake Murray Airport
LMZ,Palma Airport
LNA,Palm Beach County Park Airport
LNB,Lamen Bay Airport
LNC,Lengbati Airport
LND,Hunt Field
LNE,Lonorore Airport
LNF,Munbil Airport
LNG,Lese Airport
LNH,Lake Nash Airport
LNI,Point Lonely Short Range Radar Site
LNJ,Lincang Airport
LNK,Lincoln Airport
LNL,Longnan Chengzhou Airport
LNM,Langimar Airport
LNN,Lost Nation Airport
LNO,Leonora Airport
LNP,Lonesome Pine Airport
LNQ,Loani Airport
LNR,Tri-County Regional Airport
LNS,Lancaster Airport
LNV,Lihir Island Airport
LNX,Smolensk South Airport
LNY,Lanai Airport
LNZ,Linz Airport
LOA,Lorraine Airport
LOB,San Rafael Airport
LOC,Lock Airport
LOD,Longana Airport
LOE,Loei Airport
LOF,Loen Airport
LOH,Ciudad de Catamayo Airport
LOI,Helmuth Baungartem Airport
LOK,Lodwar Airport
LOL,Derby Field
LOM,Francisco Primo de Verdad National Airport
LON[2],3
LOO,L'Mekrareg Airport
LOP,Lombok International Airport
LOQ,Lobatse Airport
LOS,Murtala Muhammed International Airport
LOT,Lewis University Airport
LOU,Bowman Field
LOV,Venustiano Carranza International Airport
LOW,Louisa County Airport
LOX,Los Tablones Airport
LOY,Loiyangalani Airport
LOZ,London-Corbin Airport
LPA,Gran Canaria Airport
LPB,El Alto International Airport
LPC,Lompoc Airport
LPD,La Pedrera Airport
LPE,La Primavera Airport
LPF,Liupanshui Yuezhao Airport
LPG,La Plata Airport
LPI,Linköping/Saab Airport
LPJ,Armando Schwarck Airport
LPK,Lipetsk Airport
LPL,Liverpool John Lennon Airport
LPM,Malekoula Airport
LPN,Leron Plains Airport
LPO,La Porte Municipal Airport
LPP,Lappeenranta Airport
LPQ,Luang Prabang International Airport
LPS,Fishermans Bay/LPS Seaplane Base
LPT,Lampang Airport
LPU,Long Apung Airport
LPX,Liepāja International Airport
LPY,Le Puy – Loudes Airport
LQK,Pickens County Airport
LQM,Caucayá Airport
LQN,Qala i Naw Airport
LRA,Larissa National Airport
LRB,Leribe Airport
LRD,Laredo International Airport
LRE,Longreach Airport
LRF,Little Rock Air Force Base
LRG,Loralai Airport
LRH,La Rochelle – Île de Ré Airport
LRI,Lorica Airport
LRJ,Le Mars Municipal Airport
LRL,Niamtougou International Airport
LRM,La Romana International Airport
LRQ,Laurie River Airport
LRR,Larestan International Airport
LRS,Leros Municipal Airport
LRT,Lorient South Brittany Airport
LRU,Las Cruces International Airport
LRV,Los Roques Airport
LSA,Losuia Airport
LSB,Lordsburg Municipal Airport
LSC,La Florida Airport
LSE,La Crosse Regional Airport
LSF,Lawson Army Airfield
LSH,Lashio Airport
LSI,Sumburgh Airport
LSJ,Long Island Airport
LSK,Lusk Municipal Airport
LSL,Los Chiles Airport
LSM,Long Semado Airport
LSN,Los Banos Municipal Airport
LSO,Les Sables-d'Olonne – Talmont Airport
LSP,Josefa Camejo International Airport
LSQ,Maria Dolores Airport
LSS,Les Saintes Airport
LST,Launceston Airport
LSU,Long Sukang Airport
LSV,Nellis Air Force Base
LSW,Malikus Saleh Airport
LSX,Lhok Sukon Airport
LSY,Lismore Airport
LSZ,Lošinj Airport
LTA,Tzaneen Airport
LTB,Latrobe Airport
LTC,Laï Airport
LTD,Ghadames Airport
LTF,Leitre Airport
LTG,Langtang Airport
LTI,Altai Airport
LTK,Bassel Al-Assad International Airport
LTL,Lastourville Airport
LTM,Lethem Airport
LTN,Luton Airport
LTO,Loreto International Airport
LTP,Lyndhurst Airport
LTQ,Le Touquet – Côte d'Opale Airport
LTR,Letterkenny Airfield
LTS,Altus Air Force Base
LTT,La Môle – Saint-Tropez Airport
LTU,Latur Airport
LTV,Lotus Vale Station Airport
LTW,St. Mary's County Regional Airport
LTX,Cotopaxi International Airport
LUA,Tenzing-Hillary Airport
LUB,Lumid Pau Airport
LUC,Laucala Airport
LUD,Lüderitz Airport
LUE,Boľkovce Airport
LUF,Luke Air Force Base
LUG,Lugano Airport
LUH,Sahnewal Airport
LUI,La Unión Airport
LUK,Cincinnati Municipal Airport
LUL,Hesler-Noble Field
LUM,Dehong Mangshi Airport
LUN,Kenneth Kaunda International Airport
LUO,Luena Airport
LUP,Kalaupapa Airport
LUQ,Brigadier Mayor César Raúl Ojeda Airport
LUR,Cape Lisburne LRRS Airport
LUS,Lusanga Airport
LUT,New Laura Airport
LUU,Laura Airport
LUV,Karel Sadsuitubun Airport
LUW,Syukuran Aminuddin Amir Airport
LUX,Luxembourg Findel Airport
LUZ,Lublin Airport
LVA,Laval Entrammes Airport
LVB,Galpões Airport
LVD,Lime Village Airport
LVI,Harry Mwanga Nkumbula International Airport
LVK,Livermore Municipal Airport
LVL,Lawrenceville/Brunswick Municipal Airport
LVM,Mission Field
LVO,Laverton Airport
LVP,Lavan Airport
LVR,Bom Futuro Municipal Airport
LVS,Las Vegas Municipal Airport
LWA,Lebak Airport
LWB,Greenbrier Valley Airport
LWC,Lawrence Municipal Airport
LWE,Wonopito Airport
LWH,Lawn Hill Airport
LWI,Lowai Airport
LWK,Tingwall Airport
LWL,Wells Municipal Airport
LWM,Lawrence Municipal Airport
LWN,Shirak Airport
LWO,Lviv Danylo Halytskyi International Airport
LWR,Leeuwarden Air Base
LWS,Lewiston–Nez Perce County Airport
LWT,Lewistown Municipal Airport
LWV,Lawrenceville–Vincennes International Airport
LWY,Lawas Airport
LXA,Lhasa Gonggar Airport
LXG,Louang Namtha Airport
LXN,Jim Kelly Field
LXR,Luxor International Airport
LXS,Lemnos International Airport
LXU,Lukulu Airport
LXV,Lake County Airport
LYA,Luoyang Beijiao Airport
LYB,Edward Bodden Airfield
LYC,Lycksele Airport
LYE,RAF Lyneham
LYG,Lianyungang Baitabu Airport
LYH,Lynchburg Regional Airport
LYI,Linyi Shubuling Airport
LYK,Lunyuk Airport
LYN,Lyon–Bron Airport
LYO,Lyons–Rice County Municipal Airport
LYP,Faisalabad International Airport
LYR,"Svalbard Airport, Longyear"
LYS,Lyon–Saint-Exupéry Airport
LYT,Lady Elliot Island Airport
LYU,Ely Municipal Airport
LYX,Lydd Airport
LZA,Luiza Airport
LZC,Lázaro Cárdenas Airport
LZH,Liuzhou Bailian Airport
LZI,Luozi Airport
LZM,Cuango-Luzamba Airport
LZN,Matsu Nangan Airport
LZO,Luzhou Lantian Airport
LZR,Lizard Island Airport
LZU,Gwinnett County Airport
LZY,Nyingchi Mainling Airport
MAA,Chennai International Airport
MAB,João Correa da Rocha Airport
MAC,Macon Downtown Airport
MAD,Adolfo Suárez Madrid–Barajas Airport
MAE,Madera Municipal Airport
MAF,Midland International Air and Space Port
MAG,Madang Airport
MAH,Menorca Airport
MAI,Mangochi Airport
MAJ,Marshall Islands International Airport
MAK,Malakal Airport
MAL,Mangole Airport
MAM,General Servando Canales International Airport
MAN,Manchester Airport
MAO,Eduardo Gomes International Airport
MAP,Mamai Airport
MAQ,Mae Sot Airport
MAR,La Chinita International Airport
MAS,Momote Airport
MAT,Matadi Tshimpi Airport
MAU,Maupiti Airport
MAV,Maloelap Airport
MAW,Malden Regional Airport
MAX,Ouro Sogui Airport
MAY,Clarence A. Bain Airport
MAZ,Eugenio María de Hostos Airport
MBA,Moi International Airport
MBB,Marble Bar Airport
MBC,Mbigou Airport
MBD,Mahikeng Airport
MBE,Monbetsu Airport
MBF,Porepunkah Airfield
MBG,Mobridge Municipal Airport
MBH,Maryborough Airport
MBI,Mbeya Airport
MBJ,Sangster International Airport
MBK,Orlando Villas-Bôas Regional Airport
MBL,Manistee County Blacker Airport
MBM,Mkambati Airport
MBN,Mount Barnett Airport
MBO,Mamburao Airport
MBP,Moyobamba Airport
MBQ,Mbarara Airport
MBR,M'Bout Airport
MBS,MBS International Airport
MBT,Moises R. Espinosa Airport
MBU,Mbambanakira Airport
MBV,Masa Airport
MBW,Moorabbin Airport
MBX,Maribor Edvard Rusjan Airport
MBY,Omar N. Bradley Airport
MBZ,Maués Airport
MCA,Macenta Airport
MCB,McComb–Pike County Airport
MCC,McClellan Airfield
MCD,Mackinac Island Airport
MCE,Merced Regional Airport
MCF,MacDill Air Force Base
MCG,McGrath Airport
MCH,General Manuel Serrano Airport
MCI,Kansas City International Airport
MCJ,Jorge Isaacs Airport
MCK,McCook Ben Nelson Regional Airport
MCL,McKinley National Park Airport
MCN,Middle Georgia Regional Airport
MCO,Orlando International Airport
MCP,Alberto Alcolumbre International Airport
MCQ,Miskolc Airport
MCS,Monte Caseros Airport
MCT,Muscat International Airport
MCU,Montluçon – Guéret Airport
MCV,McArthur River Mine Airport
MCW,Mason City Municipal Airport
MCX,Uytash Airport
MCY,Sunshine Coast Airport
MCZ,Zumbi dos Palmares International Airport
MDB,Melinda Airport
MDC,Sam Ratulangi International Airport
MDD,Midland Airpark
MDE,José María Córdova International Airport
MDF,Taylor County Airport
MDG,Mudanjiang Hailang Airport
MDH,Southern Illinois Airport
MDI,Makurdi Airport
MDJ,Madras Municipal Airport
MDK,Mbandaka Airport
MDL,Mandalay International Airport
MDM,Munduku Airport
MDN,Madison Municipal Airport
MDO,Middleton Island Airport
MDP,Mindiptana Airport
MDQ,Astor Piazzolla International Airport
MDS,Middle Caicos Airport
MDT,Harrisburg International Airport
MDU,Mendi Airport
MDV,Médouneu Airport
MDW,Midway International Airport
MDX,Mercedes Airport
MDY,Henderson Field
MDZ,Gov. Francisco Gabrielli International Airport
MEA,Benedito Lacerda Airport
MEB,Essendon Airport
MEC,Eloy Alfaro International Airport
MED,Prince Mohammad bin Abdulaziz Airport
MEE,Maré Airport
MEF,Melfi Airport
MEG,Malanje Airport
MEH,Mehamn Airport
MEI,Meridian Regional Airport
MEJ,Port Meadville Airport
MEK,Bassatine Air Base
MEL,Melbourne Airport
MEM,Memphis International Airport
MEN,Brenoux Airport
MEO,Dare County Regional Airport
MEP,Mersing Airport
MEQ,Cut Nyak Dhien Airport
MER,Castle Airport
MES,Soewondo Air Force Base
MET,Moreton Airport
MEU,Serra do Areão Airport
MEV,Minden–Tahoe Airport
MEW,Mweka Airport
MEX,Mexico City International Airport
MEY,Meghauli Airport
MEZ,Messina Airport
MFA,Mafia Airport
MFB,Monfort Airport
MFC,Mafeteng Airport
MFD,Mansfield Lahm Regional Airport
MFE,McAllen Miller International Airport
MFF,Moanda Airport
MFG,Muzaffarabad Airport
MFH,Mesquite Airport
MFI,Marshfield Municipal Airport
MFJ,Moala Airport
MFK,Matsu Beigan Airport
MFL,Mount Full Stop Airport
MFM,Macau International Airport
MFN,Milford Sound Airport
MFO,Manguna Airport
MFP,Manners Creek Airport
MFQ,Maradi Airport
MFR,Rogue Valley International–Medford Airport
MFS,Miraflores Airport
MFU,Mfuwe Airport
MFV,Accomack County Airport
MFW,Magaruque Airport
MFX,Méribel Altiport
MFY,Mayfa'ah Airport
MFZ,Meselia Airport
MGA,Augusto C. Sandino International Airport
MGB,Mount Gambier Airport
MGC,Michigan City Municipal Airport
MGD,Magdalena Airport
MGE,Dobbins Air Reserve Base
MGF,Sílvio Name Júnior Regional Airport
MGG,Margarima Airport
MGH,Margate Airport
MGI,Aransas National Wildlife Refuge Airport
MGJ,Orange County Airport
MGK,Mong Ton Airport
MGL,Düsseldorf Mönchengladbach Airport
MGM,Montgomery Regional Airport
MGN,Baracoa Regional Airport
MGO,Manega Airport
MGP,Manga Airport
MGQ,Aden Adde International Airport
MGR,Moultrie Municipal Airport
MGS,Mangaia Airport
MGT,Milingimbi Airport
MGU,Manaung Airport
MGV,Margaret River Station Airport
MGW,Morgantown Municipal Airport
MGX,Moabi Airport
MGY,Dayton–Wright Brothers Airport
MGZ,Myeik Airport
MHA,Mahdia Airport
MHC,Mocopulli Airport
MHD,Mashhad International Airport
MHE,Mitchell Municipal Airport
MHF,Morichal Airport
MHG,Mannheim City Airport
MHH,Marsh Harbour Airport
MHI,Moucha Airport
MHK,Manhattan Regional Airport
MHL,Marshall Memorial Municipal Airport
MHN,Hooker County Airport
MHO,Mount House Airport
MHP,Minsk-1 Airport
MHQ,Mariehamn Airport
MHR,Sacramento Mather Airport
MHS,Dunsmuir Municipal-Mott Airport
MHT,Manchester–Boston Regional Airport
MHU,Mount Hotham Airport
MHV,Mojave Air and Space Port
MHW,Monteagudo Airport
MHX,Manihiki Island Airport
MHY,Morehead Airport
MHZ,RAF Mildenhall
MIA,Miami International Airport
MIB,Minot Air Force Base
MIC,Crystal Airport
MID,Manuel Crescencio Rejón International Airport
MIE,Delaware County Regional Airport
MIF,Roy Hurd Memorial Airport
MIG,Mianyang Nanjiao Airport
MIH,Mitchell Plateau Airport
MII,Frank Miloye Milenkowichi–Marília State Airport
MIJ,Mili Airport
MIK,Mikkeli Airport
MIL[1],1
MIM,Merimbula Airport
MIN,Minnipa Airport
MIO,Miami Municipal Airport
MIP,Mitzpe Ramon Airport
MIQ,Millard Airport
MIR,Monastir Habib Bourguiba International Airport
MIS,Misima Island Airport
MIT,Shafter Airport
MIU,Maiduguri International Airport
MIV,Millville Municipal Airport
MIW,Marshalltown Municipal Airport
MIX,Mirití-Paraná Airport
MIY,Mittiebah Airport
MIZ,Mainoru Airport
MJA,Manja Airport
MJB,Mejit Airport
MJC,Man Airport
MJD,Moenjodaro Airport
MJE,Majkin Airport
MJF,"Mosjøen Airport, Kjærstad"
MJI,Mitiga International Airport
MJJ,Moki Airport
MJK,Shark Bay Airport
MJL,Mouila Airport
MJM,Mbuji Mayi Airport
MJN,Amborovy Airport
MJO,Mount Etjo Airport
MJP,Manjimup Airport
MJQ,Jackson Municipal Airport
MJR,Miramar Airport
MJS,Maganja da Costa Airport
MJT,Mytilene International Airport
MJU,Tampa Padang Airport
MJV,Murcia–San Javier Airport
MJW,Mahenye Airport
MJX,Robert J. Miller Air Park
MJZ,Mirny Airport
MKA,Mariánské Lázně Airport
MKB,Mékambo Airport
MKC,Charles B. Wheeler Downtown Airport
MKE,Milwaukee Mitchell International Airport
MKG,Muskegon County Airport
MKH,Mokhotlong Airport
MKI,M'Boki Airport
MKJ,Makoua Airport
MKK,Molokai Airport
MKL,McKellar–Sipes Regional Airport
MKM,Mukah Airport
MKN,Malekolon Airport
MKO,Davis Field
MKP,Makemo Airport
MKQ,Mopah Airport
MKR,Meekatharra Airport
MKS,Mekane Selam Airport
MKT,Mankato Regional Airport
MKU,Makokou Airport
MKV,Mount Cavenagh Airport
MKW,Rendani Airport
MKY,Mackay Airport
MKZ,Malacca International Airport
MLA,Malta International Airport
MLB,Orlando Melbourne International Airport
MLC,McAlester Regional Airport
MLD,Malad City Airport
MLE,Ibrahim Nasir International Airport
MLF,Milford Municipal Airport
MLG,Abdul Rachman Saleh Airport
MLH,EuroAirport Basel Mulhouse Freiburg
MLI,Quad City International Airport
MLJ,Baldwin County Airport
MLK,Malta Airport
MLL,Marshall Don Hunter Sr. Airport
MLM,General Francisco J. Mujica International Airport
MLN,Melilla Airport
MLO,Milos Island National Airport
MLP,Malabang Airport
MLQ,Malalaua Airport
MLR,Millicent Airport
MLS,Miles City Airport
MLT,Millinocket Municipal Airport
MLU,Monroe Regional Airport
MLV,Merluna Airport
MLW,Spriggs Payne Airport
MLX,Malatya Erhaç Airport
MLY,Manley Hot Springs Airport
MLZ,Cerro Largo International Airport
MMA[1],2
MMB,Memanbetsu Airport
MMC,Ciudad Mante National Airport
MMD,Minami-Daito Airport
MME,Teesside International Airport
MMF,Mamfe Airport
MMG,Mount Magnet Airport
MMH,Mammoth Yosemite Airport
MMI,McMinn County Airport
MMJ,Matsumoto Airport
MMK,Murmansk Airport
MML,Southwest Minnesota Regional Airport
MMM,Middlemount Airport
MMN,Minute Man Air Field
MMO,Maio Airport
MMP,San Bernardo Airport
MMQ,Mbala Airport
MMS,Selfs Airport
MMT,McEntire Joint National Guard Base
MMU,Morristown Municipal Airport
MMV,Mal Island Airport
MMW,Moma Airport
MMX,Malmö Airport
MMY,Miyako Airport
MMZ,Maymana Airport
MNA,Melangguane Airport
MNB,Muanda Airport
MNC,Nacala Airport
MND,Medina Airport
MNE,Mungeranie Airport
MNF,Mana Island Airport
MNG,Maningrida Airport
MNH,Al-Musannah Airport
MNI,John A. Osborne Airport
MNJ,Mananjary Airport
MNK,Maiana Airport
MNL,Ninoy Aquino International Airport
MNM,Menominee-Marinette Twin County Airport
MNN,Marion Municipal Airport
MNO,Manono Airport
MNP,Maron Island Airport
MNQ,Monto Airport
MNR,Mongu Airport
MNS,Mansa Airport
MNT,Minto Al Wright Airport
MNU,Mawlamyaing Airport
MNV,Mount Valley Airport
MNW,MacDonald Downs Airport
MNX,Manicoré Airport
MNY,Mono Airport
MNZ,Manassas Regional Airport
MOA,Orestes Acosta Airport
MOB,Mobile Regional Airport
MOC,Montes Claros/Mário Ribeiro Airport
MOD,Modesto City–County Airport
MOE,Momeik Airport
MOF,Frans Seda Airport
MOG,Monghsat Airport
MOH,Maleo Airport
MOI,Mitiaro Airport
MOJ,Moengo Airstrip
MOL,"Molde Airport, Årø"
MOM,Letfotar Airport
MON,Mount Cook Aerodrome
MOO,Moomba Airport
MOP,Mount Pleasant Municipal Airport
MOQ,Morondava Airport
MOR,Morristown Regional Airport
MOS,Moses Point Airport
MOT,Minot International Airport
MOU,Mountain Village Airport
MOV,Moranbah Airport
MOW[1],3
MOX,Morris Municipal Airport
MOY,Monterrey Airport
MOZ,Moorea Airport
MPA,Katima Mulilo Airport
MPB,Miami Seaplane Base
MPC,Muko-Muko Airport
MPD,Sindhri Airport
MPF,Mapoda Airport
MPG,Makini Airport
MPH,Godofredo P. Ramos Airport
MPI,Mamitupo Airport
MPJ,Petit Jean Park Airport
MPL,Montpellier–Méditerranée Airport
MPM,Maputo International Airport
MPN,RAF Mount Pleasant
MPO,Pocono Mountains Municipal Airport
MPP,Mulatupo Airport
MPQ,Ma'an Airport
MPR,McPherson Airport
MPS,Mount Pleasant Regional Airport
MPT,Maliana Airport
MPU,Mabua Airstrip
MPV,Edward F. Knapp State Airport
MPW,Mariupol International Airport
MPX,Miyanmin Airport
MPY,Maripasoula Airport
MPZ,Mount Pleasant Municipal Airport
MQA,Mandora Station Airport
MQB,Macomb Municipal Airport
MQC,Miquelon Airport
MQD,Maquinchao Airport
MQE,Marqua Airport
MQF,Magnitogorsk International Airport
MQG,Midgard Airport
MQH,Minaçu Airport
MQJ,Moma Airport
MQK,San Matías Airport
MQL,Mildura Airport
MQM,Mardin Airport
MQN,"Mo i Rana Airport, Røssvoll"
MQO,Malam Airport
MQP,Kruger Mpumalanga International Airport
MQQ,Moundou Airport
MQR,Mosquera Airport
MQS,Mustique Airport
MQT,Sawyer International Airport
MQU,Mariquita Airport
MQV,Mostaganem Airport
MQW,Telfair–Wheeler Airport
MQX,Alula Aba Nega Airport
MQY,Smyrna Airport
MQZ,Margaret River Airport
MRA,Misrata Airport
MRB,Eastern WV Regional Airport
MRC,Maury County Airport
MRD,Alberto Carnevalli Airport
MRE,Mara Serena Airport
MRF,Marfa Municipal Airport
MRG,Mareeba Airfield
MRH,May River Airport
MRI,Merrill Field
MRJ,Marcala Airport
MRK,Marco Island Airport
MRL,Miners Lake Airport
MRM,Manari Airport
MRN,Foothills Regional Airport
MRO,Hood Aerodrome
MRP,Marla Airport
MRQ,Marinduque Airport
MRR,José María Velasco Ibarra Airport
MRS,Marseille Provence Airport
MRT,Moroak Airport
MRU,Sir Seewoosagur Ramgoolam International Airport
MRV,Mineralnye Vody Airport
MRW,Lolland Falster Airport
MRX,Mahshahr Airport
MRY,Monterey Regional Airport
MRZ,Moree Airport
MSA,Muskrat Dam Airport
MSC,Falcon Field Airport
MSD,Mount Pleasant Airport
MSE,Manston Airport
MSF,Mount Swan Airport
MSG,Matsaile Airport
MSH,Masirah Air Base
MSI,Masalembo Airport
MSJ,Misawa Air Base
MSL,Northwest Alabama Regional Airport
MSM,Masi-Manimba Airport
MSN,Dane County Regional Airport
MSO,Missoula International Airport
MSP,Minneapolis–Saint Paul International Airport
MSQ,Minsk National Airport
MSR,Muş Airport
MSS,Massena International Airport
MST,Maastricht Aachen Airport
MSU,Moshoeshoe I International Airport
MSV,Sullivan County International Airport
MSW,Massawa International Airport
MSX,Mossendjo Airport
MSY,Louis Armstrong New Orleans International Airport
MSZ,Moçâmedes Airport
MTA,Matamata Airport
MTB,Montelíbano Airport
MTC,Selfridge Air National Guard Base
MTD,Mount Sandford Station Airport
MTE,Monte Alegre Airport
MTF,Mizan Teferi Airport
MTG,Mato Grosso Airport
MTH,Florida Keys Marathon Airport
MTI,Mosteiros Airport
MTJ,Montrose Regional Airport
MTK,Makin Airport
MTL,Maitland Airport
MTM,Metlakatla Seaplane Base
MTN,Martin State Airport
MTO,Coles County Memorial Airport
MTP,Montauk Airport
MTQ,Mitchell Airport
MTR,Los Garzones Airport
MTS,Matsapha Airport
MTT,Minatitlán/Coatzacoalcos International Airport
MTU,Montepuez Airport
MTV,Mota Lava Airport
MTW,Manitowoc County Airport
MTX,Metro Field
MTY,General Mariano Escobedo International Airport
MTZ,Bar Yehuda Airfield
MUA,Munda Airport
MUB,Maun Airport
MUC,Munich Airport
MUD,Mueda Airport
MUE,Waimea-Kohala Airport
MUF,Muting Airport
MUG,Mulegé Airstrip
MUH,Marsa Matruh International Airport
MUI,Muir Army Airfield
MUJ,Mui Airport
MUK,Mauke Airport
MUL,Spence Airport
MUN,José Tadeo Monagas International Airport
MUO,Mountain Home Air Force Base
MUP,Mulga Park Airport
MUQ,Muccan Station Airport
MUR,Marudi Airport
MUS,Minami Torishima Airport
MUT,Muscatine Municipal Airport
MUW,Ghriss Airport
MUX,Multan International Airport
MUY,Mouyondzi Airport
MUZ,Musoma Airport
MVA,Mývatn Airport
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport
MVC,Monroe County Airport
MVD,Carrasco Gral. Cesáreo L. Berisso International Airport
MVE,Montevideo–Chippewa County Airport
MVF,Gov. Dix-Sept Rosado Airport
MVG,Mevang Airport
MVH,Macksville Airport
MVI,Manetai Airport
MVK,Mulka Airport
MVL,Morrisville–Stowe State Airport
MVM,Kayenta Airport
MVN,Mount Vernon Airport
MVO,Mongo Airport
MVP,Fabio Alberto León Bentley Airport
MVQ,Mogilev Airport
MVR,Salak Airport
MVS,Mucuri Airport
MVT,Mataiva Airport
MVU,Musgrave Airport
MVV,Megève Altiport
MVW,Skagit Regional Airport
MVX,Minvoul Airport
MVY,Martha's Vineyard Airport
MVZ,Masvingo Airport
MWA,Williamson County Regional Airport
MWB,Morawa Airport
MWC,Lawrence J. Timmerman Airport
MWD,PAF Base M.M. Alam
MWE,Merowe Airport
MWF,Maewo-Naone Airport
MWG,Marawaka Airport
MWH,Grant County International Airport
MWI,Maramuni Airport
MWJ,Matthews Ridge Airport
MWK,Matak Airport
MWL,Mineral Wells Airport
MWM,Windom Municipal Airport
MWN,Mwadui Airport
MWO,Middletown Regional Airport
MWQ,Magway Airport
MWR,Motswari Airstrip
MWT,Moolawatana Airport
MWU,Mussau Island Airport
MWV,Mondulkiri Airport
MWX,Muan International Airport
MWY,Miranda Downs Airport
MWZ,Mwanza Airport
MXA,Manila Municipal Airport
MXB,Andi Jemma Airport
MXC,Monticello Airport
MXD,Marion Downs Airport
MXE,Laurinburg–Maxton Airport
MXF,Maxwell Air Force Base
MXG,Marlboro Airport
MXH,Moro Airport
MXI,Mati Airport
MXJ,Minna Airport
MXK,Mindik Airport
MXL,General Rodolfo Sánchez Taboada International Airport
MXM,Morombe Airport
MXN,Morlaix – Ploujean Airport
MXO,Monticello Regional Airport
MXP,Milan–Malpensa Airport
MXR,Myrhorod Air Base
MXS,Maota Airport
MXT,Maintirano Airport
MXU,Mullewa Airport
MXV,Mörön Airport
MXW,Mandalgovi Airport
MXX,Mora–Siljan Airport
MXY,McCarthy Airport
MXZ,Meixian Airport
MYA,Moruya Airport
MYB,Mayumba Airport
MYC,Mariscal Sucre Airport
MYD,Malindi Airport
MYE,Miyakejima Airport
MYF,Montgomery Field Airport
MYG,Mayaguana Airport
MYH,Marble Canyon Airport
MYI,Murray Island Airport
MYJ,Matsuyama Airport
MYK,May Creek Airport
MYL,McCall Municipal Airport
MYM,Monkey Mountain Airport
MYN,Marib Airport
MYO,Myroodah Airport
MYP,Mary International Airport
MYQ,Mysore Airport
MYR,Myrtle Beach International Airport
MYT,Myitkyina Airport
MYU,Mekoryuk Airport
MYV,Yuba County Airport
MYW,Mtwara Airport
MYX,Menyamya Airport
MYY,Miri Airport
MYZ,Monkey Bay Airport
MZA,Manuel Prado Ugarteche Airport
MZB,Mocímboa da Praia Airport
MZC,Mitzic Airport
MZD,Méndez Airport
MZE,Manatee Airport
MZF,Wild Coast Sun Airport
MZG,Magong Airport
MZH,Amasya Merzifon Airport
MZI,Mopti Airport
MZJ,Pinal Airpark
MZK,Marakei Airport
MZL,La Nubia Airport
MZM,Metz-Frescaty Air Base
MZN,Minj Airport
MZO,Sierra Maestra Airport
MZP,Motueka Aerodrome
MZQ,Mkuze Airport
MZR,Mazar-e Sharif International Airport
MZT,General Rafael Buelna International Airport
MZU,Muzaffarpur Airport
MZV,Mulu Airport
MZW,Mécheria Airport
MZX,Mena Airport
MZY,Mossel Bay Airport
MZZ,Marion Municipal Airport
OAA,Forward Operating Base Shank
OAG,Orange Airport
OAH,Shindand Air Base
OAI,Bagram Airfield
OAJ,Albert J. Ellis Airport
OAK,Oakland International Airport
OAL,Capital do Café Airport
OAM,Oamaru Airport
OAN,El Arrayán Airport
OAR,Marina Municipal Airport
OAS,Sharana Airstrip
OAX,Xoxocotlán International Airport
OAZ,Camp Bastion Air Base
OBA,Oban Airport
